platform,region,rank,amount,relevant_at
PC,apac,1,1329,2018-02-13
PC,ncsa,5,2173,2018-02-13
PS4,ncsa,20,4147,2018-02-13
PC,emea,1,5143,2018-02-13
PS4,emea,8,15139,2018-02-13
XBOX,emea,1,3215,2018-02-13
PS4,ncsa,15,30649,2018-02-13
PC,apac,13,9071,2018-02-13
XBOX,apac,13,2633,2018-02-13
XBOX,emea,13,15492,2018-02-13
PC,emea,13,27018,2018-02-13
PS4,ncsa,4,4894,2018-02-13
PS4,emea,4,6740,2018-02-13
PS4,apac,4,1452,2018-02-13
XBOX,ncsa,13,39634,2018-02-13
PS4,apac,15,8249,2018-02-13
PC,ncsa,13,18107,2018-02-13
PS4,emea,15,40083,2018-02-13
PC,ncsa,1,3647,2018-02-13
PS4,emea,20,6602,2018-02-13
PC,apac,5,961,2018-02-13
XBOX,apac,5,432,2018-02-13
XBOX,ncsa,1,8667,2018-02-13
PS4,ncsa,8,11278,2018-02-13
XBOX,emea,5,2191,2018-02-13
PS4,apac,20,2158,2018-02-13
PC,emea,5,3006,2018-02-13
PS4,ncsa,16,24057,2018-02-13
XBOX,global,18,16920,2018-02-13
PS4,global,12,42505,2018-02-13
PC,global,18,10797,2018-02-13
PC,global,9,14356,2018-02-13
XBOX,global,9,18071,2018-02-13
PS4,global,14,89389,2018-02-13
PS4,global,19,11325,2018-02-13
XBOX,global,3,4752,2018-02-13
PC,global,3,3550,2018-02-13
XBOX,global,4,5971,2018-02-13
PC,global,4,4445,2018-02-13
PS4,global,17,85216,2018-02-13
PS4,global,16,59342,2018-02-13
PS4,global,13,95771,2018-02-13
XBOX,global,10,20736,2018-02-13
PC,global,11,18466,2018-02-13
XBOX,global,11,22365,2018-02-13
PC,global,10,17216,2018-02-13
PS4,global,6,19321,2018-02-13
PC,global,15,39449,2018-02-13
PS4,global,7,23178,2018-02-13
PC,global,20,5352,2018-02-13
XBOX,global,20,5923,2018-02-13
PS4,global,5,16090,2018-02-13
XBOX,global,15,44781,2018-02-13
PS4,global,0,239971,2018-02-13
PS4,global,2,7190,2018-02-13
PC,global,1,9603,2018-02-13
XBOX,global,8,14979,2018-02-13
PC,global,8,11097,2018-02-13
